ProductID,ProductName,Category,UnitCost,UnitPrice
PRD001,iPhone 15 Pro,Smartphones,999.0,1199.0
PRD002,Galaxy S24 Ultra,Smartphones,950.0,1299.0
PRD003,Pixel 8 Pro,Smartphones,700.0,999.0
PRD004,OnePlus 12,Smartphones,650.0,799.0
PRD005,Redmi Note 13 Pro,Smartphones,220.0,299.0
PRD006,Apple Watch Series 9,Smartwatches,300.0,399.0
PRD007,Galaxy Watch 6,Smartwatches,220.0,299.0
PRD008,Fitbit Charge 6,Smartwatches,110.0,159.0
PRD009,boAt Storm Call,Smartwatches,25.0,49.0
PRD010,Noise ColorFit Pro,Smartwatches,30.0,59.0
PRD011,Sony WH-1000XM5,Headphones,280.0,399.0
PRD012,Bose QuietComfort,Headphones,250.0,349.0
PRD013,AirPods Pro 2,Headphones,180.0,249.0
PRD014,boAt Rockerz 450,Headphones,15.0,29.0
PRD015,JBL Tune 510BT,Headphones,35.0,49.0
PRD016,Fast Charger 20W,Accessories,8.0,19.0
PRD017,USB-C Cable 2m,Accessories,4.0,9.99
PRD018,Wireless Charging Pad,Accessories,15.0,29.99
PRD019,Phone Case Silicone,Accessories,5.0,14.99
PRD020,Tempered Glass Guard,Accessories,2.0,7.99
